2009.3.20 0:00,119,2010.3.19 0:00,144,2011.3.18 0:00,2759,2012.3.18 0:00,5745,2013.3.19 0:00,48705,2014.3.18 0:00,57881,2015.3.19 0:00,102414,2016.3.17 0:00,206973,2017.3.18 0:00,263530
2009.3.22 0:00,97,2010.3.21 0:00,191,2011.3.20 0:00,2674,2012.3.20 0:00,6604,2013.3.21 0:00,53840,2014.3.20 0:00,72117,2015.3.21 0:00,100458,2016.3.19 0:00,188863,2017.3.20 0:00,277033
2009.3.24 0:00,105,2010.3.23 0:00,215,2011.3.22 0:00,2301,2012.3.22 0:00,6756,2013.3.23 0:00,58002,2014.3.22 0:00,69139,2015.3.23 0:00,106330,2016.3.21 0:00,189228,2017.3.22 0:00,320713
2009.3.26 0:00,114,2010.3.25 0:00,197,2011.3.24 0:00,2218,2012.3.24 0:00,6461,2013.3.25 0:00,51011,2014.3.24 0:00,67382,2015.3.25 0:00,93930,2016.3.23 0:00,187877,2017.3.24 0:00,289521
2009.3.28 0:00,122,2010.3.27 0:00,182,2011.3.26 0:00,2987,2012.3.26 0:00,6469,2013.3.27 0:00,51993,2014.3.26 0:00,69897,2015.3.27 0:00,106302,2016.3.25 0:00,173609,2017.3.26 0:00,221915
2009.3.30 0:00,125,2010.3.29 0:00,205,2011.3.28 0:00,3420,2012.3.28 0:00,7134,2013.3.29 0:00,66205,2014.3.28 0:00,69155,2015.3.29 0:00,87456,2016.3.27 0:00,161486,2017.3.28 0:00,294001
2009.4.1 0:00,107,2010.3.31 0:00,213,2011.3.30 0:00,1625,2012.3.30 0:00,7174,2013.3.31 0:00,44586,2014.3.30 0:00,55333,2015.3.31 0:00,105294,2016.3.29 0:00,191841,2017.3.30 0:00,288788
2009.4.3 0:00,113,2010.4.2 0:00,155,2011.4.1 0:00,1573,2012.4.1 0:00,5619,2013.4.2 0:00,60268,2014.4.1 0:00,64692,2015.4.2 0:00,115686,2016.3.31 0:00,208976,2017.4.1 0:00,255871
2009.4.5 0:00,129,2010.4.4 0:00,175,2011.4.3 0:00,1603,2012.4.3 0:00,7539,2013.4.4 0:00,69048,2014.4.3 0:00,67292,2015.4.4 0:00,94152,2016.4.2 0:00,196651,2017.4.3 0:00,288141
2009.4.7 0:00,99,2010.4.6 0:00,175,2011.4.5 0:00,2272,2012.4.5 0:00,6977,2013.4.6 0:00,57200,2014.4.5 0:00,59610,2015.4.6 0:00,100949,2016.4.4 0:00,200979,2017.4.5 0:00,316555
2009.4.9 0:00,99,2010.4.8 0:00,208,2011.4.7 0:00,1842,2012.4.7 0:00,6152,2013.4.8 0:00,63470,2014.4.7 0:00,62222,2015.4.8 0:00,108047,2016.4.6 0:00,218585,2017.4.7 0:00,295463
2009.4.11 0:00,123,2010.4.10 0:00,294,2011.4.9 0:00,1749,2012.4.9 0:00,6045,2013.4.10 0:00,68820,2014.4.9 0:00,64278,2015.4.10 0:00,114091,2016.4.8 0:00,215441,2017.4.9 0:00,238286
2009.4.13 0:00,118,2010.4.12 0:00,270,2011.4.11 0:00,1879,2012.4.11 0:00,7485,2013.4.12 0:00,60395,2014.4.11 0:00,66874,2015.4.12 0:00,88884,2016.4.10 0:00,181662,2017.4.11 0:00,307893
2009.4.15 0:00,112,2010.4.14 0:00,230,2011.4.13 0:00,2480,2012.4.13 0:00,7549,2013.4.14 0:00,53417,2014.4.13 0:00,49420,2015.4.14 0:00,113372,2016.4.12 0:00,240200,2017.4.13 0:00,228679
2009.4.17 0:00,115,2010.4.16 0:00,234,2011.4.15 0:00,2001,2012.4.15 0:00,7313,2013.4.16 0:00,65797,2014.4.15 0:00,74882,2015.4.16 0:00,104063,2016.4.14 0:00,230281,2017.4.15 0:00,271976
2009.4.19 0:00,121,2010.4.18 0:00,1337,2011.4.17 0:00,2320,2012.4.17 0:00,8354,2013.4.18 0:00,52605,2014.4.17 0:00,67212,2015.4.18 0:00,100484,2016.4.16 0:00,192621,2017.4.17 0:00,245184
2009.4.21 0:00,125,2010.4.20 0:00,242,2011.4.19 0:00,3567,2012.4.19 0:00,8023,2013.4.20 0:00,48016,2014.4.19 0:00,56685,2015.4.20 0:00,115128,2016.4.18 0:00,203165,2017.4.19 0:00,310104
2009.4.23 0:00,80,2010.4.22 0:00,210,2011.4.21 0:00,1912,2012.4.21 0:00,7770,2013.4.22 0:00,46737,2014.4.21 0:00,57961,2015.4.22 0:00,113657,2016.4.20 0:00,216780,2017.4.21 0:00,330354
2009.4.25 0:00,122,2010.4.24 0:00,191,2011.4.23 0:00,2100,2012.4.23 0:00,6845,2013.4.24 0:00,67982,2014.4.23 0:00,72147,2015.4.24 0:00,110568,2016.4.22 0:00,210976,2017.4.23 0:00,245039
2009.4.27 0:00,105,2010.4.26 0:00,220,2011.4.25 0:00,2516,2012.4.25 0:00,7746,2013.4.26 0:00,56533,2014.4.25 0:00,78038,2015.4.26 0:00,93761,2016.4.24 0:00,183155,2017.4.25 0:00,325387
2009.4.29 0:00,123,2010.4.28 0:00,219,2011.4.27 0:00,4550,2012.4.27 0:00,7066,2013.4.28 0:00,40986,2014.4.27 0:00,50392,2015.4.28 0:00,112434,2016.4.26 0:00,250744,2017.4.27 0:00,297884
2009.5.1 0:00,123,2010.4.30 0:00,181,2011.4.29 0:00,3474,2012.4.29 0:00,8050,2013.4.30 0:00,48795,2014.4.29 0:00,64207,2015.4.30 0:00,114070,2016.4.28 0:00,247958,2017.4.29 0:00,341319
2009.5.3 0:00,115,2010.5.2 0:00,197,2011.5.1 0:00,4648,2012.5.1 0:00,10070,2013.5.2 0:00,57278,2014.5.1 0:00,60910,2015.5.2 0:00,96416,2016.4.30 0:00,215712,2017.5.1 0:00,294786
2009.5.5 0:00,133,2010.5.4 0:00,151,2011.5.3 0:00,3235,2012.5.3 0:00,12283,2013.5.4 0:00,48349,2014.5.3 0:00,56112,2015.5.4 0:00,94120,2016.5.2 0:00,223785,2017.5.3 0:00,295149
2009.5.7 0:00,121,2010.5.6 0:00,173,2011.5.5 0:00,3399,2012.5.5 0:00,13590,2013.5.6 0:00,51244,2014.5.5 0:00,63433,2015.5.6 0:00,113496,2016.5.4 0:00,233693,2017.5.5 0:00,267193
2009.5.9 0:00,91,2010.5.8 0:00,170,2011.5.7 0:00,3889,2012.5.7 0:00,16283,2013.5.8 0:00,47359,2014.5.7 0:00,70424,2015.5.8 0:00,108365,2016.5.6 0:00,233232,2017.5.7 0:00,316011
2009.5.11 0:00,120,2010.5.10 0:00,161,2011.5.9 0:00,3560,2012.5.9 0:00,18865,2013.5.10 0:00,67937,2014.5.9 0:00,67693,2015.5.10 0:00,90054,2016.5.8 0:00,185562,2017.5.9 0:00,332879
2009.5.13 0:00,117,2010.5.12 0:00,147,2011.5.11 0:00,3272,2012.5.11 0:00,14196,2013.5.12 0:00,69320,2014.5.11 0:00,51666,2015.5.12 0:00,114424,2016.5.10 0:00,245721,2017.5.11 0:00,294743
2009.5.15 0:00,145,2010.5.14 0:00,148,2011.5.13 0:00,4404,2012.5.13 0:00,14084,2013.5.14 0:00,63287,2014.5.13 0:00,70672,2015.5.14 0:00,101228,2016.5.12 0:00,228409,2017.5.13 0:00,329266
2009.5.17 0:00,125,2010.5.16 0:00,118,2011.5.15 0:00,3990,2012.5.15 0:00,20817,2013.5.16 0:00,60543,2014.5.15 0:00,72761,2015.5.16 0:00,93025,2016.5.14 0:00,211280,2017.5.15 0:00,329229
2009.5.19 0:00,100,2010.5.18 0:00,217,2011.5.17 0:00,4355,2012.5.17 0:00,14892,2013.5.18 0:00,51982,2014.5.17 0:00,55577,2015.5.18 0:00,97915,2016.5.16 0:00,239809,2017.5.17 0:00,317527
2009.5.21 0:00,89,2010.5.20 0:00,221,2011.5.19 0:00,5131,2012.5.19 0:00,38132,2013.5.20 0:00,50093,2014.5.19 0:00,60368,2015.5.20 0:00,107683,2016.5.18 0:00,235084,2017.5.19 0:00,319502
2009.5.23 0:00,7,2010.5.22 0:00,227,2011.5.21 0:00,4822,2012.5.21 0:00,29133,2013.5.22 0:00,53981,2014.5.21 0:00,71120,2015.5.22 0:00,100591,2016.5.20 0:00,209396,2017.5.21 0:00,326057
2009.5.25 0:00,112,2010.5.24 0:00,262,2011.5.23 0:00,5775,2012.5.23 0:00,26784,2013.5.24 0:00,55106,2014.5.23 0:00,74593,2015.5.24 0:00,87996,2016.5.22 0:00,184348,2017.5.23 0:00,367710
2009.5.27 0:00,125,2010.5.26 0:00,259,2011.5.25 0:00,6172,2012.5.25 0:00,29007,2013.5.26 0:00,39879,2014.5.25 0:00,53928,2015.5.26 0:00,106971,2016.5.24 0:00,246517,2017.5.25 0:00,350114
2009.5.29 0:00,108,2010.5.28 0:00,265,2011.5.27 0:00,5491,2012.5.27 0:00,22251,2013.5.28 0:00,55138,2014.5.27 0:00,67040,2015.5.28 0:00,109786,2016.5.26 0:00,220093,2017.5.27 0:00,331914
2009.5.31 0:00,118,2010.5.30 0:00,200,2011.5.29 0:00,4725,2012.5.29 0:00,31160,2013.5.30 0:00,57170,2014.5.29 0:00,65930,2015.5.30 0:00,132907,2016.5.28 0:00,193054,2017.5.29 0:00,321638
2009.6.2 0:00,89,2010.6.1 0:00,178,2011.5.31 0:00,6203,2012.5.31 0:00,20951,2013.6.1 0:00,52390,2014.5.31 0:00,55166,2015.6.1 0:00,116959,2016.5.30 0:00,211369,2017.5.31 0:00,321634
2009.6.4 0:00,39,2010.6.3 0:00,219,2011.6.2 0:00,7157,2012.6.2 0:00,18570,2013.6.3 0:00,52048,2014.6.2 0:00,61179,2015.6.3 0:00,125399,2016.6.1 0:00,234385,2017.6.2 0:00,271539
2009.6.6 0:00,24,2010.6.5 0:00,188,2011.6.4 0:00,8773,2012.6.4 0:00,44984,2013.6.5 0:00,54947,2014.6.4 0:00,66435,2015.6.5 0:00,109700,2016.6.3 0:00,234669,2017.6.4 0:00,266044
2009.6.8 0:00,72,2010.6.7 0:00,211,2011.6.6 0:00,9808,2012.6.6 0:00,18275,2013.6.7 0:00,54331,2014.6.6 0:00,64859,2015.6.7 0:00,88440,2016.6.5 0:00,190528,2017.6.6 0:00,297416
2009.6.10 0:00,83,2010.6.9 0:00,199,2011.6.8 0:00,11394,2012.6.8 0:00,26974,2013.6.9 0:00,46237,2014.6.8 0:00,47730,2015.6.9 0:00,115633,2016.6.7 0:00,248576,2017.6.8 0:00,307377
2009.6.12 0:00,91,2010.6.11 0:00,248,2011.6.10 0:00,11233,2012.6.10 0:00,39328,2013.6.11 0:00,51208,2014.6.10 0:00,65460,2015.6.11 0:00,125147,2016.6.9 0:00,236353,2017.6.10 0:00,254993
2009.6.14 0:00,70,2010.6.13 0:00,221,2011.6.12 0:00,11668,2012.6.12 0:00,20796,2013.6.13 0:00,43302,2014.6.12 0:00,61583,2015.6.13 0:00,112813,2016.6.11 0:00,213159,2017.6.12 0:00,269098
2009.6.16 0:00,73,2010.6.15 0:00,288,2011.6.14 0:00,12602,2012.6.14 0:00,56997,2013.6.15 0:00,41531,2014.6.14 0:00,58961,2015.6.15 0:00,122279,2016.6.13 0:00,251354,2017.6.14 0:00,287644
